patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-8.880704,27.48889,-4.81999,15.84017,71.56602
-8.880704,27.48889,-4.81999,15.84017,30.96743
-8.880704,27.48889,-4.81999,15.84017,49.0881
-8.880704,27.48889,-4.81999,15.84017,39.50031
-8.880704,27.48889,-4.81999,15.84017,58.97104
-8.880704,27.48889,-4.81999,15.84017,45.5436
-8.880704,27.48889,-4.81999,15.84017,51.6669
-8.880704,27.48889,-4.81999,15.84017,30.76178
-8.880704,27.48889,-4.81999,15.84017,53.62312
-8.880704,27.48889,-4.81999,15.84017,50.48784
-8.880704,27.48889,-4.81999,15.84017,49.47509
-8.880704,27.48889,-4.81999,15.84017,39.74503
-8.880704,27.48889,-4.81999,15.84017,31.03368
-8.880704,27.48889,-4.81999,15.84017,41.03492
-8.880704,27.48889,-4.81999,15.84017,50.80788
-8.880704,27.48889,-4.81999,15.84017,60.63976
-8.880704,27.48889,-4.81999,15.84017,73.8993
-8.880704,27.48889,-4.81999,15.84017,34.89106
-8.880704,27.48889,-4.81999,15.84017,44.09706
-8.880704,27.48889,-4.81999,15.84017,33.76231
-8.880704,27.48889,-4.81999,15.84017,31.12474
-8.880704,27.48889,-4.81999,15.84017,43.6664
-8.880704,27.48889,-4.81999,15.84017,63.2194
-8.880704,27.48889,-4.81999,15.84017,55.27505
-8.880704,27.48889,-4.81999,15.84017,65.35083
-8.880704,27.48889,-4.81999,15.84017,59.49651
-8.880704,27.48889,-4.81999,15.84017,29.33431
-8.880704,27.48889,-4.81999,15.84017,37.16364
-8.880704,27.48889,-4.81999,15.84017,70.26422
-8.880704,27.48889,-4.81999,15.84017,58.22795
-8.880704,27.48889,-4.81999,15.84017,60.14503
-8.880704,27.48889,-4.81999,15.84017,30.67282
-8.880704,27.48889,-4.81999,15.84017,77.63066
-8.880704,27.48889,-4.81999,15.84017,30.77855
-8.880704,27.48889,-4.81999,15.84017,31.57974
-8.880704,27.48889,-4.81999,15.84017,61.91233
-8.880704,27.48889,-4.81999,15.84017,36.83958
-8.880704,27.48889,-4.81999,15.84017,53.59176
-8.880704,27.48889,-4.81999,15.84017,47.54373
-8.880704,27.48889,-4.81999,15.84017,29.65458
-8.880704,27.48889,-4.81999,15.84017,42.34321
-8.880704,27.48889,-4.81999,15.84017,65.86625
-8.880704,27.48889,-4.81999,15.84017,43.54734
-8.880704,27.48889,-4.81999,15.84017,43.22706
-8.880704,27.48889,-4.81999,15.84017,65.09775
-8.880704,27.48889,-4.81999,15.84017,48.53251
-8.880704,27.48889,-4.81999,15.84017,46.83702
-8.880704,27.48889,-4.81999,15.84017,46.92652
-8.880704,27.48889,-4.81999,15.84017,33.93914
-8.880704,27.48889,-4.81999,15.84017,67.89928
-8.880704,27.48889,-4.81999,15.84017,43.05682
-8.880704,27.48889,-4.81999,15.84017,27.75025
-8.880704,27.48889,-4.81999,15.84017,56.82716
-8.880704,27.48889,-4.81999,15.84017,32.87022
-8.880704,27.48889,-4.81999,15.84017,44.48448
-8.880704,27.48889,-4.81999,15.84017,70.09167
-8.880704,27.48889,-4.81999,15.84017,35.81885
-8.880704,27.48889,-4.81999,15.84017,73.28246
-8.880704,27.48889,-4.81999,15.84017,46.6739
-8.880704,27.48889,-4.81999,15.84017,72.269
-8.880704,27.48889,-4.81999,15.84017,44.31142
-8.880704,27.48889,-4.81999,15.84017,28.07795
-8.880704,27.48889,-4.81999,15.84017,33.33596
-8.880704,27.48889,-4.81999,15.84017,59.82627
-8.880704,27.48889,-4.81999,15.84017,58.85241
-8.880704,27.48889,-4.81999,15.84017,27.57591
-8.880704,27.48889,-4.81999,15.84017,29.61368
-8.880704,27.48889,-4.81999,15.84017,59.11046
-8.880704,27.48889,-4.81999,15.84017,32.5087
-8.880704,27.48889,-4.81999,15.84017,39.7445
-8.880704,27.48889,-4.81999,15.84017,34.59626
-8.880704,27.48889,-4.81999,15.84017,41.13681
-8.880704,27.48889,-4.81999,15.84017,39.17025
-8.880704,27.48889,-4.81999,15.84017,28.88369
-8.880704,27.48889,-4.81999,15.84017,48.83404
-8.880704,27.48889,-4.81999,15.84017,54.32256
-8.880704,27.48889,-4.81999,15.84017,59.10432
-8.880704,27.48889,-4.81999,15.84017,51.10909
-8.880704,27.48889,-4.81999,15.84017,65.20091
-8.880704,27.48889,-4.81999,15.84017,60.26161
-8.880704,27.48889,-4.81999,15.84017,59.60131
-8.880704,27.48889,-4.81999,15.84017,55.32246
-8.880704,27.48889,-4.81999,15.84017,58.45766
-8.880704,27.48889,-4.81999,15.84017,30.12649
-8.880704,27.48889,-4.81999,15.84017,37.46236
-8.880704,27.48889,-4.81999,15.84017,32.36253
-8.880704,27.48889,-4.81999,15.84017,23.50544
-8.880704,27.48889,-4.81999,15.84017,58.10166
-8.880704,27.48889,-4.81999,15.84017,64.6088
-8.880704,27.48889,-4.81999,15.84017,52.27457
-8.880704,27.48889,-4.81999,15.84017,56.46984
-8.880704,27.48889,-4.81999,15.84017,65.19621
-8.880704,27.48889,-4.81999,15.84017,64.95044
-8.880704,27.48889,-4.81999,15.84017,44.53742
-8.880704,27.48889,-4.81999,15.84017,47.19601
-8.880704,27.48889,-4.81999,15.84017,37.0232
-8.880704,27.48889,-4.81999,15.84017,50.24932
-8.880704,27.48889,-4.81999,15.84017,27.36627
-8.880704,27.48889,-4.81999,15.84017,60.52996
-8.880704,27.48889,-4.81999,15.84017,44.6368
-8.880704,27.48889,-4.81999,15.84017,41.50588
-8.880704,27.48889,-4.81999,15.84017,44.80733
-8.880704,27.48889,-4.81999,15.84017,55.90423
-8.880704,27.48889,-4.81999,15.84017,32.74388
-8.880704,27.48889,-4.81999,15.84017,33.59562
-8.880704,27.48889,-4.81999,15.84017,37.8949
-8.880704,27.48889,-4.81999,15.84017,23.42965
-8.880704,27.48889,-4.81999,15.84017,39.77144
-8.880704,27.48889,-4.81999,15.84017,75.74731
-8.880704,27.48889,-4.81999,15.84017,28.41544
-8.880704,27.48889,-4.81999,15.84017,65.54539
-8.880704,27.48889,-4.81999,15.84017,34.66143
-8.880704,27.48889,-4.81999,15.84017,42.74345
-8.880704,27.48889,-4.81999,15.84017,56.30596
-8.880704,27.48889,-4.81999,15.84017,26.52242
-8.880704,27.48889,-4.81999,15.84017,20.38726
-8.880704,27.48889,-4.81999,15.84017,35.15349
-8.880704,27.48889,-4.81999,15.84017,64.66339
-8.880704,27.48889,-4.81999,15.84017,52.9874
-8.880704,27.48889,-4.81999,15.84017,53.17911
-8.880704,27.48889,-4.81999,15.84017,50.52663
-8.880704,27.48889,-4.81999,15.84017,29.31447
-8.880704,27.48889,-4.81999,15.84017,41.25071
-8.880704,27.48889,-4.81999,15.84017,27.13452
-8.880704,27.48889,-4.81999,15.84017,35.89365
-8.880704,27.48889,-4.81999,15.84017,38.57814
-8.880704,27.48889,-4.81999,15.84017,31.80141
-8.880704,27.48889,-4.81999,15.84017,58.76382
-8.880704,27.48889,-4.81999,15.84017,37.28114
-8.880704,27.48889,-4.81999,15.84017,20.49108
-8.880704,27.48889,-4.81999,15.84017,36.44173
-8.880704,27.48889,-4.81999,15.84017,43.13412
-8.880704,27.48889,-4.81999,15.84017,65.65995
-8.880704,27.48889,-4.81999,15.84017,62.87152
-8.880704,27.48889,-4.81999,15.84017,57.57826
-8.880704,27.48889,-4.81999,15.84017,31.59615
-8.880704,27.48889,-4.81999,15.84017,45.2508
-8.880704,27.48889,-4.81999,15.84017,36.25013
-8.880704,27.48889,-4.81999,15.84017,32.82801
-8.880704,27.48889,-4.81999,15.84017,42.66671
-8.880704,27.48889,-4.81999,15.84017,56.46454
-8.880704,27.48889,-4.81999,15.84017,75.7985
-8.880704,27.48889,-4.81999,15.84017,33.59436
-8.880704,27.48889,-4.81999,15.84017,27.08963
-8.880704,27.48889,-4.81999,15.84017,43.28648
-8.880704,27.48889,-4.81999,15.84017,24.78448
-8.880704,27.48889,-4.81999,15.84017,72.29244
-8.880704,27.48889,-4.81999,15.84017,50.2387
-8.880704,27.48889,-4.81999,15.84017,58.78594
-8.880704,27.48889,-4.81999,15.84017,55.41285
-8.880704,27.48889,-4.81999,15.84017,20.8214
-8.880704,27.48889,-4.81999,15.84017,41.85883
-8.880704,27.48889,-4.81999,15.84017,48.7771
-8.880704,27.48889,-4.81999,15.84017,25.11876
-8.880704,27.48889,-4.81999,15.84017,48.40119
-8.880704,27.48889,-4.81999,15.84017,62.30326
-8.880704,27.48889,-4.81999,15.84017,69.95892
-8.880704,27.48889,-4.81999,15.84017,38.5172
-8.880704,27.48889,-4.81999,15.84017,49.65865
-8.880704,27.48889,-4.81999,15.84017,60.32166
-8.880704,27.48889,-4.81999,15.84017,49.80878
-8.880704,27.48889,-4.81999,15.84017,32.44337
-8.880704,27.48889,-4.81999,15.84017,72.78621
-8.880704,27.48889,-4.81999,15.84017,50.51368
-8.880704,27.48889,-4.81999,15.84017,24.2457
-8.880704,27.48889,-4.81999,15.84017,64.96861
-8.880704,27.48889,-4.81999,15.84017,73.58266
-8.880704,27.48889,-4.81999,15.84017,59.78944
-8.880704,27.48889,-4.81999,15.84017,52.14545
-8.880704,27.48889,-4.81999,15.84017,30.12337
-8.880704,27.48889,-4.81999,15.84017,22.76093
-8.880704,27.48889,-4.81999,15.84017,53.73341
-8.880704,27.48889,-4.81999,15.84017,50.98584
-8.880704,27.48889,-4.81999,15.84017,22.53262
-8.880704,27.48889,-4.81999,15.84017,62.0075
-8.880704,27.48889,-4.81999,15.84017,42.30533
-8.880704,27.48889,-4.81999,15.84017,29.44395
-8.880704,27.48889,-4.81999,15.84017,49.12533
-8.880704,27.48889,-4.81999,15.84017,68.63343
-8.880704,27.48889,-4.81999,15.84017,50.53022
-8.880704,27.48889,-4.81999,15.84017,64.58038
-8.880704,27.48889,-4.81999,15.84017,31.33473
-8.880704,27.48889,-4.81999,15.84017,62.80135
-8.880704,27.48889,-4.81999,15.84017,23.34813
-8.880704,27.48889,-4.81999,15.84017,46.36084
-8.880704,27.48889,-4.81999,15.84017,63.06183
-8.880704,27.48889,-4.81999,15.84017,22.08591
-8.880704,27.48889,-4.81999,15.84017,55.70329
-8.880704,27.48889,-4.81999,15.84017,42.1567
-8.880704,27.48889,-4.81999,15.84017,42.69673
-8.880704,27.48889,-4.81999,15.84017,44.33368
-8.880704,27.48889,-4.81999,15.84017,64.74407
-8.880704,27.48889,-4.81999,15.84017,50.36286
-8.880704,27.48889,-4.81999,15.84017,31.09323
-8.880704,27.48889,-4.81999,15.84017,30.14116
-8.880704,27.48889,-4.81999,15.84017,23.94995
-8.880704,27.48889,-4.81999,15.84017,72.27924
-8.880704,27.48889,-4.81999,15.84017,30.29546
-8.880704,27.48889,-4.81999,15.84017,60.87488
-8.880704,27.48889,-4.81999,15.84017,60.09586
-8.880704,27.48889,-4.81999,15.84017,73.02413
-8.880704,27.48889,-4.81999,15.84017,45.8465
-8.880704,27.48889,-4.81999,15.84017,26.42357
-8.880704,27.48889,-4.81999,15.84017,49.48409
-8.880704,27.48889,-4.81999,15.84017,75.03815
-8.880704,27.48889,-4.81999,15.84017,48.59892
-8.880704,27.48889,-4.81999,15.84017,56.20389
-8.880704,27.48889,-4.81999,15.84017,49.05645
-8.880704,27.48889,-4.81999,15.84017,49.39381
-8.880704,27.48889,-4.81999,15.84017,24.6678
-8.880704,27.48889,-4.81999,15.84017,66.88873
-8.880704,27.48889,-4.81999,15.84017,48.82477
-8.880704,27.48889,-4.81999,15.84017,39.75224
-8.880704,27.48889,-4.81999,15.84017,63.13435
-8.880704,27.48889,-4.81999,15.84017,25.53238
-8.880704,27.48889,-4.81999,15.84017,43.82774
-8.880704,27.48889,-4.81999,15.84017,23.57797
-8.880704,27.48889,-4.81999,15.84017,36.40729
-8.880704,27.48889,-4.81999,15.84017,44.82145
-8.880704,27.48889,-4.81999,15.84017,65.57148
-8.880704,27.48889,-4.81999,15.84017,45.14818
-8.880704,27.48889,-4.81999,15.84017,41.28225
-8.880704,27.48889,-4.81999,15.84017,41.6489
-8.880704,27.48889,-4.81999,15.84017,42.33899
-8.880704,27.48889,-4.81999,15.84017,41.14751
-8.880704,27.48889,-4.81999,15.84017,53.36317
-8.880704,27.48889,-4.81999,15.84017,31.22004
-8.880704,27.48889,-4.81999,15.84017,38.2083
-8.880704,27.48889,-4.81999,15.84017,68.72996
-8.880704,27.48889,-4.81999,15.84017,23.73371
-8.880704,27.48889,-4.81999,15.84017,41.36811
-8.880704,27.48889,-4.81999,15.84017,49.12838
-8.880704,27.48889,-4.81999,15.84017,52.59737
-8.880704,27.48889,-4.81999,15.84017,71.99753
-8.880704,27.48889,-4.81999,15.84017,42.03351
-8.880704,27.48889,-4.81999,15.84017,55.79287
-8.880704,27.48889,-4.81999,15.84017,46.23413
-8.880704,27.48889,-4.81999,15.84017,26.4958
-8.880704,27.48889,-4.81999,15.84017,65.67471
-8.880704,27.48889,-4.81999,15.84017,44.24669
-8.880704,27.48889,-4.81999,15.84017,24.90792
-8.880704,27.48889,-4.81999,15.84017,54.90283
-8.880704,27.48889,-4.81999,15.84017,46.45581
