radius,mean_patchiness,mean_phi,num_points
2,0.266482,5.703008,101
3,0.3491578,4.948064,413
4,0.38611,0.4154629,915
5,0.3848135,-0.5255654,1417
6,0.3958375,0.6194918,2030
7,0.4090239,2.825629,2676
8,0.3897723,2.392996,3402
9,0.368911,2.022917,4305
10,0.3471424,2.06991,5011
11,0.3330285,2.390376,5723
12,0.341071,2.430496,6507
13,0.3594554,2.707687,7409
14,0.3807248,2.748515,8274
15,0.384897,2.771537,9201
16,0.375913,2.559204,10280
17,0.3716959,2.140918,11586
18,0.3670117,1.873089,12979
19,0.3628126,1.87826,13892
20,0.3597493,1.954318,14653
21,0.3654331,2.211036,15459
22,0.3702863,2.144654,16199
23,0.3738849,1.99931,17263
24,0.374979,1.664419,18131
25,0.3742572,1.422581,18950
26,0.3751652,1.209546,19792
27,0.3802376,0.9291592,20640
28,0.3887167,0.4487422,21631
29,0.3975332,-0.1276527,22763
30,0.4062637,-0.5926601,23857
31,0.4153,-0.7822192,24908
32,0.4243915,-0.8841456,26187
33,0.4240617,-0.8906909,28152
34,0.4206568,-0.9765578,29930
35,0.4183567,-1.102812,31598
36,0.4179628,-1.191273,33266
37,0.4193063,-1.190019,35098
38,0.4284985,-1.299485,37781
39,0.4330397,-1.311216,40189
40,0.4304911,-1.274696,42662
41,0.4268783,-1.07482,45102
42,0.4216193,-0.8923452,47960
43,0.4198757,-0.7658974,50555
44,0.4206021,-0.6519649,53163
45,0.4258785,-0.5902354,56212
46,0.4315657,-0.5117791,59307
47,0.4349132,-0.5548321,62018
48,0.4380587,-0.5578255,64883
49,0.4374115,-0.4478835,67588
50,0.4369878,-0.4058079,70286
51,0.4319474,-0.3728489,73837
52,0.4267432,-0.3009601,77516
53,0.4235087,-0.2475559,80801
54,0.4222774,-0.1441359,84290
55,0.4207822,-0.02070396,87679
56,0.4197445,0.1037572,91537
57,0.417867,0.1442164,95040
58,0.4147636,0.1866226,98116
59,0.4102462,0.2420372,101266
60,0.4067758,0.25077,104670
61,0.4052946,0.3156488,108045
62,0.4051761,0.4868423,111871
63,0.4056186,0.621239,115472
64,0.405369,0.6704576,119861
65,0.4051396,0.7736213,123507
66,0.4070811,0.7954535,126385
67,0.4090644,0.7730973,128244
68,0.4102238,0.758212,129652
69,0.411553,0.7594234,131124
70,0.4123064,0.7315369,132373
71,0.4132828,0.6821053,133320
72,0.4141782,0.6665233,133920
73,0.4151978,0.6172074,134398
74,0.4158439,0.5723783,134830
75,0.4162146,0.5520629,135000
76,0.4167512,0.5270882,135138
77,0.4167587,0.5268381,135140
