patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
30.23609,49.74491,105.3036,16.93167,46.07336
30.23609,49.74491,105.3036,16.93167,29.46474
30.23609,49.74491,105.3036,16.93167,57.34031
30.23609,49.74491,105.3036,16.93167,65.11121
30.23609,49.74491,105.3036,16.93167,52.78585
30.23609,49.74491,105.3036,16.93167,43.24369
30.23609,49.74491,105.3036,16.93167,50.55104
30.23609,49.74491,105.3036,16.93167,8.934729
30.23609,49.74491,105.3036,16.93167,59.91887
30.23609,49.74491,105.3036,16.93167,37.42259
30.23609,49.74491,105.3036,16.93167,55.2849
30.23609,49.74491,105.3036,16.93167,43.9264
30.23609,49.74491,105.3036,16.93167,70.69118
30.23609,49.74491,105.3036,16.93167,31.55014
30.23609,49.74491,105.3036,16.93167,47.8685
30.23609,49.74491,105.3036,16.93167,10.6572
30.23609,49.74491,105.3036,16.93167,32.31118
30.23609,49.74491,105.3036,16.93167,40.48307
30.23609,49.74491,105.3036,16.93167,39.47134
30.23609,49.74491,105.3036,16.93167,37.4341
30.23609,49.74491,105.3036,16.93167,38.71553
30.23609,49.74491,105.3036,16.93167,56.02698
30.23609,49.74491,105.3036,16.93167,32.34882
30.23609,49.74491,105.3036,16.93167,38.82932
30.23609,49.74491,105.3036,16.93167,17.67828
30.23609,49.74491,105.3036,16.93167,29.67112
30.23609,49.74491,105.3036,16.93167,23.32289
30.23609,49.74491,105.3036,16.93167,26.69679
30.23609,49.74491,105.3036,16.93167,21.08938
30.23609,49.74491,105.3036,16.93167,40.00632
30.23609,49.74491,105.3036,16.93167,41.83375
30.23609,49.74491,105.3036,16.93167,26.4196
30.23609,49.74491,105.3036,16.93167,45.34797
30.23609,49.74491,105.3036,16.93167,61.12379
30.23609,49.74491,105.3036,16.93167,31.15206
30.23609,49.74491,105.3036,16.93167,38.41985
30.23609,49.74491,105.3036,16.93167,47.14804
30.23609,49.74491,105.3036,16.93167,65.56036
30.23609,49.74491,105.3036,16.93167,20.99952
30.23609,49.74491,105.3036,16.93167,48.57582
30.23609,49.74491,105.3036,16.93167,10.72401
30.23609,49.74491,105.3036,16.93167,24.15142
30.23609,49.74491,105.3036,16.93167,56.87038
30.23609,49.74491,105.3036,16.93167,63.85833
30.23609,49.74491,105.3036,16.93167,15.02349
30.23609,49.74491,105.3036,16.93167,8.409836
30.23609,49.74491,105.3036,16.93167,68.86445
30.23609,49.74491,105.3036,16.93167,54.57628
30.23609,49.74491,105.3036,16.93167,21.14793
30.23609,49.74491,105.3036,16.93167,35.52083
30.23609,49.74491,105.3036,16.93167,11.04655
30.23609,49.74491,105.3036,16.93167,32.1314
30.23609,49.74491,105.3036,16.93167,57.60341
30.23609,49.74491,105.3036,16.93167,10.32784
30.23609,49.74491,105.3036,16.93167,31.39541
30.23609,49.74491,105.3036,16.93167,40.98338
30.23609,49.74491,105.3036,16.93167,30.12493
30.23609,49.74491,105.3036,16.93167,68.75878
30.23609,49.74491,105.3036,16.93167,22.53075
30.23609,49.74491,105.3036,16.93167,65.05824
30.23609,49.74491,105.3036,16.93167,67.76801
30.23609,49.74491,105.3036,16.93167,21.65937
30.23609,49.74491,105.3036,16.93167,34.48659
30.23609,49.74491,105.3036,16.93167,27.19827
30.23609,49.74491,105.3036,16.93167,45.67387
30.23609,49.74491,105.3036,16.93167,15.1542
30.23609,49.74491,105.3036,16.93167,7.732228
30.23609,49.74491,105.3036,16.93167,54.63769
30.23609,49.74491,105.3036,16.93167,41.92099
30.23609,49.74491,105.3036,16.93167,17.96494
30.23609,49.74491,105.3036,16.93167,19.68418
30.23609,49.74491,105.3036,16.93167,43.62949
30.23609,49.74491,105.3036,16.93167,19.21975
30.23609,49.74491,105.3036,16.93167,57.97264
30.23609,49.74491,105.3036,16.93167,45.10193
30.23609,49.74491,105.3036,16.93167,30.73478
30.23609,49.74491,105.3036,16.93167,57.43618
30.23609,49.74491,105.3036,16.93167,13.16685
30.23609,49.74491,105.3036,16.93167,23.96614
30.23609,49.74491,105.3036,16.93167,58.00244
30.23609,49.74491,105.3036,16.93167,67.85352
30.23609,49.74491,105.3036,16.93167,63.65061
30.23609,49.74491,105.3036,16.93167,46.03455
30.23609,49.74491,105.3036,16.93167,61.27533
30.23609,49.74491,105.3036,16.93167,59.97884
30.23609,49.74491,105.3036,16.93167,34.43802
30.23609,49.74491,105.3036,16.93167,31.97751
30.23609,49.74491,105.3036,16.93167,24.81471
30.23609,49.74491,105.3036,16.93167,37.52776
30.23609,49.74491,105.3036,16.93167,27.82046
30.23609,49.74491,105.3036,16.93167,35.37004
30.23609,49.74491,105.3036,16.93167,34.18797
30.23609,49.74491,105.3036,16.93167,14.95741
30.23609,49.74491,105.3036,16.93167,25.92113
30.23609,49.74491,105.3036,16.93167,31.59336
30.23609,49.74491,105.3036,16.93167,27.01859
30.23609,49.74491,105.3036,16.93167,14.93428
30.23609,49.74491,105.3036,16.93167,38.30087
30.23609,49.74491,105.3036,16.93167,30.02397
30.23609,49.74491,105.3036,16.93167,41.68189
30.23609,49.74491,105.3036,16.93167,12.27218
30.23609,49.74491,105.3036,16.93167,63.30187
30.23609,49.74491,105.3036,16.93167,62.95511
30.23609,49.74491,105.3036,16.93167,37.5036
30.23609,49.74491,105.3036,16.93167,40.10196
30.23609,49.74491,105.3036,16.93167,46.04656
30.23609,49.74491,105.3036,16.93167,64.06368
30.23609,49.74491,105.3036,16.93167,12.56938
30.23609,49.74491,105.3036,16.93167,35.15455
30.23609,49.74491,105.3036,16.93167,32.21786
30.23609,49.74491,105.3036,16.93167,68.45322
30.23609,49.74491,105.3036,16.93167,41.01794
30.23609,49.74491,105.3036,16.93167,63.66378
30.23609,49.74491,105.3036,16.93167,28.84554
30.23609,49.74491,105.3036,16.93167,23.1034
30.23609,49.74491,105.3036,16.93167,65.70238
30.23609,49.74491,105.3036,16.93167,39.96008
30.23609,49.74491,105.3036,16.93167,63.87952
30.23609,49.74491,105.3036,16.93167,30.40241
30.23609,49.74491,105.3036,16.93167,36.68943
30.23609,49.74491,105.3036,16.93167,38.62783
30.23609,49.74491,105.3036,16.93167,49.35699
30.23609,49.74491,105.3036,16.93167,36.203
30.23609,49.74491,105.3036,16.93167,13.88783
30.23609,49.74491,105.3036,16.93167,47.00189
30.23609,49.74491,105.3036,16.93167,67.70189
30.23609,49.74491,105.3036,16.93167,28.10262
30.23609,49.74491,105.3036,16.93167,25.57748
30.23609,49.74491,105.3036,16.93167,28.82537
30.23609,49.74491,105.3036,16.93167,13.3567
30.23609,49.74491,105.3036,16.93167,41.58747
