surface_dist,mean_patchiness,mean_phi,num_points
2,0.6569319,-9.858614,165
3,0.5174087,-9.027575,370
4,0.3470236,-4.897643,656
5,0.2447382,-2.134026,1060
6,0.2420988,2.049221,1547
7,0.2620144,3.811419,2180
8,0.29624,4.64245,2938
9,0.3139941,5.327423,3824
10,0.3345889,6.448133,4876
11,0.3544903,6.705284,6020
12,0.3682988,6.897926,7193
13,0.3818991,7.378001,8461
14,0.3828325,7.139797,9849
15,0.3728369,6.577524,11329
16,0.3678981,6.025254,12905
17,0.3665662,5.57042,14534
18,0.3615453,5.407204,16235
19,0.3600719,5.101762,18175
20,0.3572684,4.541128,20308
21,0.358523,3.821904,22496
22,0.3554028,3.30799,24715
23,0.3539169,2.785135,27120
24,0.3585373,2.340628,29653
25,0.3636395,2.132623,32361
26,0.3678817,1.947833,34993
27,0.373308,1.821165,37703
28,0.3828673,1.715009,40649
29,0.3890513,1.658756,43770
30,0.3924628,1.661747,47026
31,0.3962599,1.652919,50485
32,0.4015688,1.811941,53982
33,0.4063406,1.83194,57420
34,0.4094903,1.764839,61020
35,0.4117497,1.694527,64947
36,0.4143631,1.62962,69096
37,0.4170877,1.448425,73598
38,0.4191831,1.321659,78072
39,0.4209687,1.202344,82635
40,0.4214377,1.141574,87396
41,0.4222354,1.096789,92074
42,0.4239286,1.005444,96444
43,0.4254138,0.9850651,100732
44,0.4252031,0.8588264,105279
45,0.4248208,0.7209225,110004
46,0.4262814,0.6793408,114915
47,0.4288021,0.7199633,119801
48,0.4322221,0.8267809,124381
49,0.4348324,1.042358,128945
50,0.4359373,1.266507,133509
51,0.4367721,1.483071,137980
52,0.4371629,1.642627,142276
53,0.4377086,1.73272,146584
54,0.4373176,1.836903,151077
55,0.4353087,1.93947,155868
56,0.4343985,2.054326,160939
57,0.4339251,2.138684,166388
58,0.4317856,2.247537,171946
59,0.4287206,2.291669,177317
60,0.4260581,2.275948,182544
61,0.4241085,2.261592,187733
62,0.4228362,2.312081,192916
63,0.4220743,2.3705,198155
64,0.4207581,2.383812,203461
65,0.419233,2.367233,208636
66,0.4182345,2.347505,213603
67,0.4176399,2.35532,218089
68,0.4165791,2.392189,221894
69,0.4152875,2.396612,225220
70,0.4141522,2.414851,227893
71,0.4134246,2.421529,230253
72,0.4131272,2.433202,231944
73,0.4127993,2.452121,233024
74,0.4128901,2.463776,233840
75,0.413027,2.473527,234434
76,0.4131699,2.463322,234852
77,0.4134255,2.450377,235142
78,0.4134322,2.448975,235185
