all,non_tail,N,C,N_w_pdb,C_w_pdb
70.0,70.0,20.0,40.0,160.0,34.0
431.0,431.0,45.0,75.0,26.0,327.0
40.0,44.0,30.0,34.0,908.0,85.0
44.0,210.0,25.0,25.0,36.0,53.0
210.0,24.0,40.0,31.0,24.0,24.0
24.0,21.0,69.0,28.0,22.0,71.0
21.0,77.0,37.0,24.0,1048.0,724.0
75.0,23.0,424.0,20.0,33.0,315.0
20.0,29.0,77.0,49.0,23.0,60.0
77.0,22.0,130.0,72.0,30.0,24.0
23.0,40.0,214.0,20.0,204.0,22.0
29.0,298.0,44.0,62.0,72.0,22.0
45.0,26.0,160.0,120.0,36.0,39.0
34.0,43.0,249.0,276.0,21.0,98.0
22.0,24.0,25.0,73.0,493.0,25.0
25.0,22.0,37.0,305.0,82.0,76.0
40.0,31.0,38.0,55.0,54.0,98.0
298.0,34.0,49.0,26.0,20.0,535.0
31.0,59.0,28.0,43.0,33.0,35.0
26.0,156.0,27.0,67.0,57.0,31.0
43.0,62.0,96.0,169.0,65.0,100.0
24.0,29.0,126.0,21.0,148.0,77.0
22.0,45.0,56.0,81.0,39.0,115.0
28.0,273.0,21.0,21.0,270.0,101.0
31.0,22.0,74.0,28.0,23.0,20.0
30.0,63.0,31.0,62.0,36.0,20.0
34.0,104.0,29.0,100.0,27.0,37.0
59.0,25.0,1013.0,229.0,41.0,67.0
156.0,23.0,26.0,62.0,35.0,21.0
24.0,21.0,27.0,64.0,38.0,31.0
62.0,54.0,299.0,51.0,34.0,120.0
29.0,46.0,48.0,143.0,224.0,31.0
45.0,43.0,232.0,58.0,21.0,114.0
273.0,26.0,99.0,42.0,33.0,302.0
22.0,219.0,22.0,57.0,212.0,26.0
25.0,180.0,68.0,278.0,21.0,224.0
63.0,34.0,125.0,96.0,416.0,50.0
104.0,21.0,58.0,41.0,186.0,124.0
25.0,23.0,70.0,22.0,64.0,72.0
23.0,155.0,20.0,56.0,53.0,27.0
21.0,120.0,30.0,20.0,87.0,188.0
54.0,23.0,25.0,99.0,52.0,132.0
46.0,39.0,48.0,43.0,68.0,29.0
20.0,28.0,908.0,107.0,24.0,976.0
40.0,20.0,246.0,194.0,21.0,28.0
43.0,31.0,76.0,134.0,97.0,30.0
26.0,22.0,102.0,21.0,52.0,54.0
219.0,44.0,24.0,62.0,33.0,66.0
49.0,38.0,452.0,32.0,86.0,136.0
69.0,40.0,114.0,25.0,158.0,43.0
180.0,1097.0,280.0,45.0,142.0,320.0
72.0,92.0,122.0,327.0,37.0,204.0
37.0,35.0,22.0,88.0,51.0,91.0
20.0,20.0,118.0,28.0,23.0,44.0
34.0,20.0,82.0,88.0,63.0,28.0
424.0,323.0,335.0,31.0,42.0,29.0
21.0,57.0,33.0,20.0,39.0,28.0
62.0,21.0,26.0,41.0,22.0,46.0
23.0,25.0,67.0,29.0,63.0,25.0
77.0,264.0,127.0,159.0,95.0,24.0
155.0,21.0,75.0,32.0,107.0,115.0
120.0,35.0,35.0,54.0,33.0,51.0
23.0,33.0,346.0,199.0,50.0,224.0
39.0,36.0,58.0,24.0,54.0,150.0
28.0,44.0,28.0,85.0,73.0,79.0
20.0,20.0,199.0,162.0,33.0,41.0
130.0,25.0,31.0,76.0,52.0,41.0
31.0,25.0,69.0,37.0,37.0,21.0
22.0,147.0,34.0,39.0,28.0,45.0
120.0,225.0,33.0,46.0,34.0,30.0
