Q6PUA2	copy_number:435.7898601
F4K3G5	copy_number:600.4557205
Q9M9X9	copy_number:781.6109687
Q8L7I1	copy_number:815.5694639
B0M1H3	copy_number:849.5948943
P0DKG5	copy_number:855.1225027
Q9SH22	copy_number:871.9901692
Q9SSF9	copy_number:930.6300962
Q58P71	copy_number:940.6967229
Q940A6	copy_number:946.0451361
Q9LY50	copy_number:1005.223196
Q9S9M2	copy_number:1015.512592
F4K4C5	copy_number:1031.619406
Q9FJR9	copy_number:1034.744087
Q9LTA6	copy_number:1098.50108
Q58G01	copy_number:1104.379789
Q9C6Y4	copy_number:1145.397896
Q56Y74	copy_number:1188.261108
O04533	copy_number:1216.465923
Q9LZM4	copy_number:1218.27851
Q9SIZ8	copy_number:1219.931854
Q8L7G4	copy_number:1246.97481
Q8GV43	copy_number:1258.444348
Q9LXF4	copy_number:1262.658449
Q9C9Z7	copy_number:1270.106702
Q9LQE3	copy_number:1296.856885
Q681K7	copy_number:1296.874059
Q9SMY6	copy_number:1301.095386
O64728	copy_number:651.4218084
Q9M2H2	copy_number:1307.66247
F4I8I0	copy_number:1310.201164
O48573	copy_number:660.7245555
Q9LDD4	copy_number:1342.233061
F4KA50	copy_number:1354.987325
Q5PP23	copy_number:1364.303946
Q9LK10	copy_number:1373.494821
Q84WU6	copy_number:1382.751795
Q9LXU9	copy_number:1391.780469
Q9SVE6	copy_number:1401.881507
Q9FFN9	copy_number:1430.736685
Q9LN22	copy_number:1440.004992
Q9S9X4	copy_number:1444.787336
Q1PE17	copy_number:1463.781468
O23076	copy_number:1468.141052
C0LGR3	copy_number:1474.781156
Q9SKC4	copy_number:1482.632941
Q8GYF4	copy_number:1488.49705
Q56XW8	copy_number:1503.621327
Q9FH67	copy_number:1549.508428
Q9SCP4	copy_number:1562.847737
Q9ZV29	copy_number:1577.459803
Q9M8L5	copy_number:1610.930393
Q9FKF0	copy_number:813.8441791
Q9SGQ0	copy_number:1629.80426
Q9MA56	copy_number:816.8566904
Q7X9B9	copy_number:1643.188765
Q9FGL5	copy_number:1643.194892
Q9S9U3	copy_number:1652.489618
Q9MAG8	copy_number:1660.697065
Q949P1	copy_number:1661.836825
Q4PSY2	copy_number:1668.528317
Q9SHV7	copy_number:1670.783474
Q56XR6	copy_number:1678.646426
Q7PC81	copy_number:559.9988914
Q9FH76	copy_number:1683.124646
O81211	copy_number:842.933782
Q9LUJ2	copy_number:845.7177437
Q8VZA0	copy_number:1694.720283
Q3S4A7	copy_number:850.4597659
O49680	copy_number:1712.446384
Q9M0E1	copy_number:1732.339726
Q9LFN8	copy_number:866.5615994
Q9SJP6	copy_number:1733.760719
Q0WWX5	copy_number:1737.198435
Q9SR66	copy_number:1745.616389
Q9LPJ7	copy_number:1752.48986
Q9FZ99	copy_number:1766.612319
Q3ECH2	copy_number:886.6275909
I3XHK1	copy_number:1188.225064
Q9STE7	copy_number:1796.167823
F4HVS0	copy_number:1824.549052
Q9ZQ85	copy_number:1837.696351
P0C5K4	copy_number:1845.040119
A0A1P8ASY1	copy_number:1230.576295
Q9LIK3	copy_number:1850.436027
Q6EWX1	copy_number:1875.666059
Q8RWY4	copy_number:939.0180277
Q9S840	copy_number:1880.893588
Q27IK7	copy_number:1507.436362
Q9LJR3	copy_number:1887.655067
Q9M7Q2	copy_number:1895.781501
Q9S6Z8	copy_number:1905.363233
Q9SSR4	copy_number:1913.919523
Q9T0E4	copy_number:1916.503916
Q9FKZ7	copy_number:1927.113889
Q9FIF5	copy_number:1935.535498
O48809	copy_number:1962.92509
Q0WSZ8	copy_number:1987.648016
Q9LUP5	copy_number:1996.296208
Q9SVZ9	copy_number:1999.906368
O49316	copy_number:2003.930471
Q8VZ17	copy_number:1007.576641
Q9ZTX9	copy_number:1009.797654
F4JN26	copy_number:2020.205573
Q84XV2	copy_number:2028.886249
Q9SNB6	copy_number:2042.57807
Q9SF37	copy_number:2052.610248
Q9C9F0	copy_number:2062.080302
Q9ZQX8	copy_number:1380.310215
Q9FIX3	copy_number:2091.74665
Q84WQ5	copy_number:2100.525342
Q9SJ04	copy_number:2134.449416
Q700D0	copy_number:2139.329733
Q8VYC2	copy_number:2188.494798
F4JP36	copy_number:2189.669185
Q9FFA7	copy_number:2203.384211
Q4V389	copy_number:2222.516583
Q8L7H4	copy_number:1111.786751
Q9SV05	copy_number:2226.111962
Q9SAH3	copy_number:2244.153338
Q9FNG8	copy_number:1507.815448
Q9FL92	copy_number:2264.326267
Q8GVE8	copy_number:756.0022501
Q93YS2	copy_number:760.5990435
Q9LYY7	copy_number:2288.626635
Q9FMS5	copy_number:2289.227005
Q9SH31	copy_number:2302.425068
O80742	copy_number:2319.042099
F4JYC8	copy_number:2329.143952
Q94A73	copy_number:1182.456788
Q3E8Y7	copy_number:2375.801542
Q93YR9	copy_number:2382.831501
Q8S905	copy_number:799.9973998
O04716	copy_number:600.4164525
Q9LFS2	copy_number:2403.602828
Q9T0F1	copy_number:2409.628641
Q9ZVN6	copy_number:1221.244396
O64641	copy_number:2447.093333
Q9LQF0	copy_number:2451.722087
Q94AK4	copy_number:2462.579448
Q9SBI0	copy_number:2471.220489
Q9SA69	copy_number:2477.235413
Q9SXD8	copy_number:2487.625149
Q8H0Y8	copy_number:2525.904915
Q8GYF5	copy_number:2544.789974
O64592	copy_number:2554.71454
Q9C6H2	copy_number:2563.288455
Q3EAF8	copy_number:2573.155273
Q9SJL7	copy_number:2587.982862
Q9CA66	copy_number:2600.912237
Q9SIC9	copy_number:2601.918066
Q9SXB0	copy_number:2605.687234
F4I111	copy_number:2607.429348
Q9LR69	copy_number:2615.340462
Q9SHT2	copy_number:2619.860995
Q9ZPY6	copy_number:2622.136878
Q9LSJ5	copy_number:656.2736996
Q9LJR6	copy_number:1314.390263
Q8VY10	copy_number:2631.445063
Q9M2D9	copy_number:2647.657762
Q8L6Y3	copy_number:2649.372847
Q9ZSY8	copy_number:2655.163202
Q9LYW0	copy_number:2657.088269
O49471	copy_number:2660.691749
Q708Y0	copy_number:2668.430919
Q9SRL2	copy_number:2670.526312
F4J1G1	copy_number:2673.080261
Q9FG90	copy_number:895.0669383
Q8LDR0	copy_number:2692.021659
F4JNA9	copy_number:2027.298019
Q683I9	copy_number:2714.222429
Q9FLY7	copy_number:2737.910363
Q84VG7	copy_number:2738.288886
Q5XPJ6	copy_number:685.281721
Q9FG91	copy_number:1831.163775
O49329	copy_number:920.9430825
Q9ZWC8	copy_number:2075.107599
Q9FNN9	copy_number:932.8107249
F4IM84	copy_number:2102.748681
Q9LMU1	copy_number:2810.651987
F4JDI6	copy_number:1408.963108
F4K2K3	copy_number:564.1200039
P0DKI4	copy_number:1880.402019
Q9ZUA2	copy_number:2820.888895
A0MEX7	copy_number:2844.779764
Q9FLU8	copy_number:2857.752948
Q9LZ25	copy_number:1925.768599
F4KFT6	copy_number:2895.146222
P48785	copy_number:972.2245959
Q5BPT4	copy_number:2946.150994
O48786	copy_number:2963.147476
Q94BM7	copy_number:1979.078875
Q0WKV8	copy_number:2974.763525
Q9STK6	copy_number:1495.186011
Q9FZD4	copy_number:2992.610833
Q58P69	copy_number:1999.919982
Q8L7Y8	copy_number:1202.354729
Q94KB9	copy_number:1505.048897
Q9M8J3	copy_number:2007.504305
Q9STP2	copy_number:3018.189317
Q9SVQ3	copy_number:3030.273053
Q9LJY7	copy_number:3036.751431
P0C7R3	copy_number:3045.097541
Q9M364	copy_number:3047.471761
Q9M8M5	copy_number:3057.536018
Q9LTM6	copy_number:3081.604791
Q9T048	copy_number:1560.727882
Q9FX36	copy_number:3124.986209
Q94IA6	copy_number:3139.238526
Q9C593	copy_number:3147.202808
Q8GYM4	copy_number:3174.469645
Q9SZ45	copy_number:1590.534491
Q9SMZ2	copy_number:795.3770475
Q9LJM4	copy_number:3191.305554
Q9LVA2	copy_number:799.3212244
Q94C77	copy_number:1067.037365
Q9M1S9	copy_number:3203.959153
Q9M0F8	copy_number:3212.495664
A2RVQ5	copy_number:3213.456086
Q9LVY7	copy_number:3213.795885
Q7XJS0	copy_number:1607.574968
P84634	copy_number:921.5829583
Q06AN9	copy_number:2173.221034
Q7X6Y7	copy_number:3272.038151
Q9ZU13	copy_number:3290.684226
C0SVV6	copy_number:3292.718795
F4KDA5	copy_number:3308.351462
Q9LUL5	copy_number:1104.969599
Q96287	copy_number:3315.88362
Q9FXB9	copy_number:2211.633294
Q9SJA2	copy_number:3326.481422
Q500W7	copy_number:3329.392455
Q9FE17	copy_number:1674.322368
Q8H2D1	copy_number:3388.365572
Q9LYZ4	copy_number:3400.044498
Q8GYW8	copy_number:3406.312382
F4J2M6	copy_number:2567.544673
Q8GYY5	copy_number:3471.256489
P58048	copy_number:3473.965501
Q9M0G9	copy_number:2317.941265
Q8GX93	copy_number:1166.545213
Q0WNR2	copy_number:3509.152182
Q9C9J0	copy_number:3540.132286
Q9M1G4	copy_number:2370.029553
Q8RY81	copy_number:3557.801974
Q9M1V3	copy_number:2674.973222
Q9SAA6	copy_number:3574.015355
F4JIF4	copy_number:894.9156222
Q8L7G0	copy_number:3589.336632
O64645	copy_number:3592.687077
Q8S897	copy_number:3610.953206
Q6DR04	copy_number:3642.334763
Q94F87	copy_number:1823.388999
Q6NQP4	copy_number:3653.522528
Q9M9H7	copy_number:3654.870893
Q9C7M1	copy_number:3661.399508
Q9SB61	copy_number:3668.974492
Q9SCV1	copy_number:1844.501487
Q9ZW88	copy_number:3693.087551
Q9LRW6	copy_number:3701.524835
Q9LR72	copy_number:3705.142614
Q9SZR9	copy_number:3737.186292
Q9ASW1	copy_number:1247.811604
O04647	copy_number:3752.178524
Q9M8S6	copy_number:3754.648056
Q9SVA5	copy_number:3758.84331
A1L4X0	copy_number:3775.977308
Q9SXY0	copy_number:1888.415413
Q9FJU3	copy_number:1890.860351
Q6NQ81	copy_number:949.4141585
Q9LT79	copy_number:3827.514902
Q39012	copy_number:3830.134562
F4JWM0	copy_number:1919.053512
Q9XGM3	copy_number:1919.89234
F4JY12	copy_number:1922.356973
Q9SY20	copy_number:3858.116591
Q3E6Q1	copy_number:3879.953537
Q94BP0	copy_number:1946.792041
Q9LTY2	copy_number:3940.684967
Q9SHG0	copy_number:985.7632961
O82178	copy_number:3962.268135
Q9LM59	copy_number:2644.968244
