Step	E or P	Steps-per-second	Elapsed time (hh:mm:ss)	Remaining time (hh:mm:ss)
20	E	7.40                 	00:00:02             	37:30:45
50000	P	19.44                	00:42:52             	13:34:32
100000	P	19.38                	01:26:00             	12:54:06
150000	P	19.31                	02:09:27             	12:13:36
200000	P	19.29                	02:52:48             	11:31:15
250000	P	19.30                	03:35:54             	10:47:45
300000	P	19.31                	04:18:56             	10:04:13
350000	P	19.23                	05:03:20             	09:23:21
400000	P	19.22                	05:46:50             	08:40:16
450000	P	19.23                	06:29:57             	07:56:37
500000	P	19.20                	07:14:02             	07:14:03
550000	P	19.20                	07:57:19             	06:30:32
600000	P	19.17                	08:41:38             	05:47:46
650000	P	19.15                	09:25:34             	05:04:33
700000	P	19.18                	10:08:25             	04:20:46
750000	P	19.19                	10:51:26             	03:37:09
800000	P	19.18                	11:35:20             	02:53:51
850000	P	19.19                	12:18:10             	02:10:16
900000	P	19.20                	13:01:13             	01:26:49
950000	P	19.21                	13:44:25             	00:43:24
1000000	P	19.21                	14:27:32             	00:00:00
