"Uniprot_ID","Start_Coverage_IDR","End_Coverage_IDR","Sequence_Length","N_Terminal_Status","C_Terminal_Status","Non_Tail_Status","FD_IDR_terminal_dist","Start_Coverage_FD","End_Coverage_FD","IDR_Length","FD_Length"
"Q9H0W5",47,477,538,0,0,1,NA,NA,NA,430,NA
"Q9H0W5",499,538,538,0,1,0,-11,494,510,39,16
"P24864",1,45,410,1,0,0,51,96,378,44,282
"P24864",377,410,410,0,1,0,-1,96,378,33,282
"Q9UHD1",60,81,332,0,0,1,NA,NA,NA,21,NA
"Q9UHD1",308,332,332,0,1,0,240,1,68,24,67
"P09603",197,494,554,0,0,1,NA,NA,NA,297,NA
"P09603",524,554,554,0,1,0,343,33,181,30,148
"Q9BS18",30,55,74,0,0,1,NA,NA,NA,25,NA
"O15234",1,703,703,1,0,0,-702,1,703,702,702
"Q13042",572,620,620,0,1,0,-48,1,620,48,619
"Q8N684",1,69,471,1,0,0,-19,50,182,68,132
"Q8N684",158,337,471,0,0,1,NA,NA,NA,179,NA
"Q8N684",400,471,471,0,1,0,218,50,182,71,132
"Q12860",687,720,1018,0,0,1,NA,NA,NA,33,NA
"Q02318",32,54,531,0,0,1,NA,NA,NA,22,NA
"Q5VV41",1,77,709,1,0,0,545,622,687,76,65
"Q5VV41",95,249,709,0,0,1,NA,NA,NA,154,NA
"O95931",109,228,251,0,0,1,NA,NA,NA,119,NA
"O96018",1,214,575,1,0,0,-159,55,72,213,17
"O96018",228,265,575,0,0,1,NA,NA,NA,37,NA
"P46100",1,160,2492,1,0,0,-1,159,296,159,137
"P46100",298,337,2492,0,0,1,NA,NA,NA,39,NA
"P46100",422,1518,2492,0,0,1,NA,NA,NA,1096,NA
"P46100",1912,2003,2492,0,0,1,NA,NA,NA,91,NA
"P46100",2438,2492,2492,0,1,0,1149,1256,1289,54,33
"Q96DR7",1,249,871,1,0,0,-207,42,52,248,10
"Q96DR7",280,314,871,0,0,1,NA,NA,NA,34,NA
"Q96DR7",325,344,871,0,0,1,NA,NA,NA,19,NA
"Q96DR7",388,407,871,0,0,1,NA,NA,NA,19,NA
"O00213",1,25,710,1,0,0,215,240,290,24,50
"O00213",45,367,710,0,0,1,NA,NA,NA,322,NA
"P01023",1178,1198,1474,0,0,1,NA,NA,NA,20,NA
"Q6ZUJ8",142,176,805,0,0,1,NA,NA,NA,34,NA
"Q6ZUJ8",517,549,805,0,0,1,NA,NA,NA,32,NA
"Q6ZUJ8",565,600,805,0,0,1,NA,NA,NA,35,NA
"Q6ZUJ8",637,805,805,0,1,0,495,7,142,168,135
"P56945",66,212,870,0,0,1,NA,NA,NA,146,NA
"P56945",228,452,870,0,0,1,NA,NA,NA,224,NA
"P56945",606,659,870,0,0,1,NA,NA,NA,53,NA
"P56945",712,735,870,0,0,1,NA,NA,NA,23,NA
"O94779",40,65,1100,0,0,1,NA,NA,NA,25,NA
"O94779",752,786,1100,0,0,1,NA,NA,NA,34,NA
"O94779",956,984,1100,0,0,1,NA,NA,NA,28,NA
"Q13825",54,74,339,0,0,1,NA,NA,NA,20,NA
"Q8WXF7",1,31,558,1,0,0,-30,1,447,30,446
"Q9Y294",157,190,204,0,0,1,NA,NA,NA,33,NA
"O14497",1,1013,2285,1,0,0,-13,1000,1119,1012,119
"O14497",1109,1660,2285,0,0,1,NA,NA,NA,551,NA
"O14497",1738,1804,2285,0,0,1,NA,NA,NA,66,NA
"O14497",1845,1966,2285,0,0,1,NA,NA,NA,121,NA
"Q9UHR4",246,329,511,0,0,1,NA,NA,NA,83,NA
"Q9UHR4",403,435,511,0,0,1,NA,NA,NA,32,NA
"Q9UHR4",448,511,511,0,1,0,46,339,402,63,63
"P55345",1,26,433,1,0,0,7,33,87,25,54
"Q9C0A0",42,73,1308,0,0,1,NA,NA,NA,31,NA
"Q9C0A0",1200,1225,1308,0,0,1,NA,NA,NA,25,NA
"O60242",242,293,1522,0,0,1,NA,NA,NA,51,NA
"O60242",363,383,1522,0,0,1,NA,NA,NA,20,NA
"O60242",1217,1240,1522,0,0,1,NA,NA,NA,23,NA
"O60242",1307,1333,1522,0,0,1,NA,NA,NA,26,NA
"O60242",1387,1418,1522,0,0,1,NA,NA,NA,31,NA
"O60242",1449,1476,1522,0,0,1,NA,NA,NA,27,NA
"Q13535",415,453,2644,0,0,1,NA,NA,NA,38,NA
"Q9Y4X5",1,99,557,1,0,0,-98,1,557,98,556
"O14617",625,924,1153,0,0,1,NA,NA,NA,299,NA
"P16278",646,677,677,0,1,0,-31,24,677,31,653
"Q9UHB7",1,908,1163,1,0,0,-9,899,1163,907,264
"Q9UHB7",1034,1082,1163,0,0,1,NA,NA,NA,48,NA
"P27540",1,102,789,1,0,0,-32,70,346,101,276
"P27540",463,789,789,0,1,0,-7,354,470,326,116
"P35222",31,59,781,0,0,1,NA,NA,NA,28,NA
"P35222",694,781,781,0,1,0,-87,131,781,87,650
"Q96P48",65,338,1450,0,0,1,NA,NA,NA,273,NA
"Q9NRJ3",87,127,127,0,1,0,-40,20,127,40,107
"P48052",260,280,419,0,0,1,NA,NA,NA,20,NA
"P07766",154,207,207,0,1,0,-53,1,207,53,206
"Q10570",402,438,1443,0,0,1,NA,NA,NA,36,NA
"Q10570",543,574,1443,0,0,1,NA,NA,NA,31,NA
"Q10570",710,778,1443,0,0,1,NA,NA,NA,68,NA
"Q10570",897,926,1443,0,0,1,NA,NA,NA,29,NA
"Q8WXI2",322,395,1034,0,0,1,NA,NA,NA,73,NA
"Q8WXI2",449,514,1034,0,0,1,NA,NA,NA,65,NA
"Q8WXI2",538,570,1034,0,0,1,NA,NA,NA,32,NA
"Q8WXI2",679,767,1034,0,0,1,NA,NA,NA,88,NA
"Q8WXI2",798,827,1034,0,0,1,NA,NA,NA,29,NA
"Q8WXI2",863,909,1034,0,0,1,NA,NA,NA,46,NA
"Q8N157",1,335,1196,1,0,0,713,1048,1116,334,68
