"Entry","Method","PDB_ID","Chain","FD","Start_Coverage","End_Coverage"
"P31937","X-ray diffraction","2GF2","A, B, C, D","FD1","41","335"
"P31937","X-ray diffraction","2I9P","A, B, C, D","FD1","40","336"
"P61981","X-ray diffraction","2B05","A, B, C, D, E, F","FD1","2","247"
"P61981","X-ray diffraction","3UZD","A","FD1","1","247"
"P61981","X-ray diffraction","4E2E","A","FD1","1","247"
"P61981","X-ray diffraction","4J6S","A, B, C, D","FD1","2","247"
"P61981","X-ray diffraction","4O46","A, B, C, D, E, F","FD1","1","247"
"P61981","X-ray diffraction","5D3E","A, B, E, F, I, J","FD1","1","238"
"P61981","X-ray diffraction","6A5S","A, B, D, G","FD1","1","247"
"P61981","X-ray diffraction","6BYJ","A, B, C, D, E, F","FD1","2","241"
"P61981","X-ray diffraction","6BYL","A, B, C, D, E, F","FD1","2","241"
"P61981","X-ray diffraction","6BZD","A, B, C, D","FD1","2","247"
"P61981","X-ray diffraction","6FEL","A, B, C, D","FD1","1","234"
"P61981","X-ray diffraction","6GKF","A, B, C, D, E, F, G, H","FD1","1","234"
"P61981","X-ray diffraction","6GKG","A, B, C, D, E, F, G, H","FD1","1","234"
"P61981","X-ray diffraction","6S9K","A","FD1","1","234"
"P61981","X-ray diffraction","6SAD","A, B","FD1","1","234"
"P00325","X-ray diffraction","1DEH","A, B","FD1","2","375"
"P00325","X-ray diffraction","1HDX","A, B","FD1","2","375"
"P00325","X-ray diffraction","1HDY","A, B","FD1","2","375"
"P00325","X-ray diffraction","1HDZ","A, B","FD1","2","375"
"P00325","X-ray diffraction","1HSZ","A, B","FD1","2","375"
"P00325","X-ray diffraction","1HTB","A, B","FD1","2","375"
"P00325","X-ray diffraction","1U3U","A, B","FD1","2","375"
"P00325","X-ray diffraction","1U3V","A, B","FD1","2","375"
"P00325","X-ray diffraction","3HUD","A, B","FD1","2","375"
"P29274","X-ray diffraction","2YDO","A","FD1","1","317"
"P29274","X-ray diffraction","2YDV","A","FD1","1","317"
"P29274","X-ray diffraction","3EML","A","FD1","2","208"
"P29274","X-ray diffraction","3PWH","A","FD1","1","317"
"P29274","X-ray diffraction","3QAK","A","FD1","2","208"
"P29274","X-ray diffraction","3REY","A","FD1","1","317"
"P29274","X-ray diffraction","3RFM","A","FD1","1","317"
"P29274","X-ray diffraction","3UZA","A","FD1","1","317"
