N_w_pdb,C_w_pdb
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P24864
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P46100,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
P55345,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
Q9UHB7,P27540
