"Uniprot_ID","PDB_ID","chain","fp_idr","fn_idr","ncpr_idr","tcpr_idr","idr_len","fp_fd","fn_fd","ncpr_fd","tcpr_fd","fd_len","tail","idr_start","fd_start_real","fd_start_reported","fd_start_pdb","fd_coverage_percentage","FD_IDR_terminal_dist_real","FD_start_error"
"P08246","1b0f","A",0.15,0.2,-0.05,0.35,20,0.087,0.037,0.05,0.12,218,"C_terminal",248,247,247,243,0.88,1,0
"P60484","1d5r","A",0.038,0.28,-0.25,0.32,53,0.15,0.14,0.012,0.28,345,"C_terminal",351,351,351,351,0.99,0,0
"O00175","1eig","A",0.24,0,0.24,0.24,29,0.19,0.055,0.14,0.25,73,"C_terminal",91,94,99,68,0.79,3,5
"P13725","1evs","A",0.34,0.023,0.32,0.36,44,0.14,0.11,0.032,0.26,187,"C_terminal",209,212,212,187,0.89,3,0
"P29372","1ewn","A",0.16,0.052,0.1,0.21,77,0.14,0.11,0.023,0.25,219,"N_terminal",77,82,80,82,0.98,5,2
"P19835","1f6w","A",0.0098,0.12,-0.11,0.13,204,0.1,0.092,0.011,0.2,533,"C_terminal",550,553,553,533,0.97,3,0
"P11171","1gg3","A",0.12,0.25,-0.13,0.37,204,0.14,0.14,0.0036,0.28,279,"N_terminal",204,210,210,1,0.42,6,0
"P25963","1ikn","D",0.16,0.26,-0.1,0.42,69,0.051,0.14,-0.085,0.19,236,"N_terminal",69,73,67,73,0.94,4,6
"Q9Y6I3","1inz","A",0.057,0.12,-0.062,0.18,435,0.16,0.15,0.014,0.31,144,"C_terminal",142,144,144,144,1,2,0
"Q14919","1jfi","A",0.091,0.23,-0.14,0.32,121,0.19,0.091,0.1,0.29,77,"C_terminal",85,75,77,75,0.89,10,2
"P09132","1jid","A",0.33,0.067,0.27,0.4,30,0.17,0.1,0.067,0.27,120,"C_terminal",115,118,120,118,1,3,2
"Q14541","1lv2","A",0.038,0.063,-0.025,0.1,79,0.11,0.13,-0.022,0.23,226,"C_terminal",330,328,328,327,0.68,2,0
"P14649","1oe9","B",0.17,0.074,0.093,0.24,54,0.12,0.19,-0.066,0.3,151,"N_terminal",54,61,58,4,0.97,7,3
"O60729","1ohc","A",0.28,0.11,0.17,0.38,47,0.12,0.11,0.0086,0.23,348,"N_terminal",47,42,39,42,0.77,5,3
"P46939","1qag","A",0.094,0.25,-0.16,0.34,32,0.12,0.11,0.0087,0.23,231,"N_terminal",32,31,31,31,0.066,1,0
"Q99967","1r8u","A",0.033,0.024,0.0094,0.057,212,0.074,0.22,-0.15,0.3,54,"N_terminal",212,220,216,220,0.83,8,4
"Q13370","1so2","A",0.091,0.33,-0.24,0.42,33,0.088,0.16,-0.069,0.25,420,"C_terminal",1080,1073,1073,1073,0.39,7,0
