index, quantile, uniprot, number of domains, S over T mean
0, 6, P32383, 3, 0.0174
0, 6, P27476, 1, 0.0293
0, 6, P39742, 1, 0.0322
0, 6, Q03362, 2, 0.0413
0, 6, Q6Q5H1, 1, 0.0438
0, 6, P38956, 1, 0.0492
0, 6, P38256, 1, 0.0526
0, 6, P34222, 1, 0.053
0, 6, P53338, 1, 0.059
0, 6, P40215, 3, 0.0617
0, 6, P46945, 2, 0.0624
0, 6, Q00684, 1, 0.0626
0, 6, P33333, 1, 0.063
0, 6, Q04215, 1, 0.0637
0, 6, P53863, 1, 0.0641
0, 6, Q04964, 1, 0.0652
0, 6, P53335, 2, 0.0664
0, 6, Q12460, 3, 0.0667
0, 6, P38226, 1, 0.0688
0, 6, Q06152, 1, 0.0716
0, 6, P46654, 1, 0.0734
0, 6, P15646, 1, 0.0744
0, 6, P25379, 2, 0.0744
0, 6, P39520, 1, 0.0756
0, 6, Q99231, 5, 0.0764
0, 6, Q12499, 3, 0.0766
0, 6, Q03525, 1, 0.0771
0, 6, P38820, 2, 0.0775
0, 6, P36103, 1, 0.0784
0, 6, P48561, 2, 0.0785
0, 6, P30620, 2, 0.08
0, 6, P87262, 1, 0.0806
0, 6, P25605, 1, 0.0825
0, 6, P25583, 1, 0.0875
0, 6, Q12193, 5, 0.0875
0, 6, Q12112, 5, 0.0886
0, 6, Q07684, 1, 0.0891
0, 6, Q07655, 1, 0.0892
0, 6, Q08960, 2, 0.0895
0, 6, P28742, 3, 0.0912
0, 6, P47035, 1, 0.0916
0, 6, P37297, 6, 0.092
0, 6, Q02959, 1, 0.0926
0, 6, Q12273, 5, 0.0926
0, 6, P53866, 1, 0.094
0, 6, Q03653, 1, 0.094
0, 6, P30771, 4, 0.0942
0, 6, O13535, 4, 0.0945
0, 6, P53036, 2, 0.0951
0, 6, Q06205, 1, 0.0951
0, 6, Q02749, 1, 0.0953
0, 6, Q01802, 2, 0.0955
0, 6, Q99296, 1, 0.0955
0, 6, P46982, 3, 0.0962
0, 6, Q03208, 1, 0.0964
0, 6, P38911, 1, 0.0965
0, 6, Q03612, 5, 0.0976
0, 6, Q04706, 1, 0.0979
0, 6, Q01080, 2, 0.0986
0, 6, P43633, 1, 0.0989
0, 6, P18851, 1, 0.1007
0, 6, P53935, 2, 0.1008
0, 6, Q06409, 6, 0.1022
0, 6, P29539, 2, 0.1037
0, 6, P40026, 1, 0.1038
0, 6, Q07799, 3, 0.1045
0, 6, P40468, 5, 0.1047
0, 6, P26370, 1, 0.1054
0, 6, P28743, 2, 0.1057
0, 6, P53728, 1, 0.106
0, 6, P12383, 2, 0.1065
0, 6, P40546, 1, 0.1069
0, 6, P25367, 1, 0.1072
0, 6, P35191, 1, 0.1072
0, 6, Q12329, 1, 0.1075
0, 6, P34244, 2, 0.1078
0, 6, Q03306, 2, 0.1078
0, 6, Q03557, 1, 0.1078
0, 6, Q07834, 2, 0.1078
0, 6, P32917, 2, 0.1083
0, 6, Q02931, 2, 0.1087
0, 6, P07342, 3, 0.1089
