"Uniprot_ID","Start_Coverage","End_Coverage"
"A0A075B6N1",21,114
"A0A075B6T6",23,112
"A0A087WT01",20,109
"A0A0B4J271",22,114
"A0A0B4J272",23,114
"A0A0B4J274",22,112
"A0A0B4J277",21,110
"A0A0B4J279",20,112
"A0A0B4J2E0",20,115
"A0A0K0K1A5",19,114
"A0A578",21,113
"A0A5B6",22,113
"A0A5B9",1,130
"A0AV96",150,245
"A0AVK6",110,341
"A0FGR8",191,662
"A0FGR8",785,913
"A0JD37",19,113
"A1A4S6",728,786
"A1Z1Q3",7,243
"A2RUC4",1,315
"A4D126",43,451
"A4D2B0",1,266
"A4UGR9",2245,2257
"A5YKK6",800,1004
"A5YKK6",1063,1317
"A5YKK6",1351,2371
"A6H8Y1",241,396
"A6NCL1",64,148
"A6ND01",20,228
"A6NED2",139,143
"A6NEQ2",220,235
"A6NGN9",31,316
"A6NHC0",23,346
"A6NHR9",24,580
"A6NI73",42,237
"A6NK06",4,461
"A6NK44",34,157
"A6NLU0",94,287
"A7KAX9",367,577
"A8K8P3",641,660
"A8MT69",1,81
"A8MW92",1,81
"A8MW92",85,143
"A8MW95",158,250
"A8MYU2",330,1062
"A9YTQ3",27,280
"B2RXH2",1,336
"B7Z8K6",1,109
"D3W0D1",63,207
"D6RGH6",173,245
"G2XKQ0",5,8
"L0R8F8",1,70
"O00139",153,553
"O00141",60,431
"O00151",1,87
"O00151",250,315
"O00154",209,378
"O00159",36,760
"O00161",23,76
"O00161",150,211
"O00167",253,538
"O00168",21,92
"O00170",2,330
"O00175",27,99
"O00180",19,288
"O00182",1,355
"O00187",16,181
"O00187",287,686
"O00189",160,453
"O00194",4,201
"O00198",22,53
"O00198",61,91
"O00204",19,365
"O00206",23,228
"O00206",384,670
"O00212",7,197
"O00213",240,290
"O00213",366,505
"O00213",534,667
"O00214",1,158
"O00214",176,317
"O00217",35,210
"O00220",125,232
"O00222",2,514
"O00231",1,422
"O00232",1,456
"O00238",168,502
"O00241",30,154
"O00244",1,68
"O00253",87,132
"O00255",1,615
"O00257",8,65
"O00264",72,195
"O00267",1,1087
"O00268",1,1085
"O00273",9,100
"O00273",225,331
"O00287",214,272
"O00291",361,586
"O00294",290,542
"O00299",1,241
"O00300",22,186
"O00303",1,257
"O00305",50,92
"O00308",330,870
"O00311",37,574
"O00327",66,128
"O00329",1,1044
"O00330",1,501
"O00338",3,296
"O00370",1,238
"O00391",33,272
"O00391",286,546
"O00399",1,190
"O00401",207,270
"O00401",346,357
"O00401",392,484
"O00408",215,921
"O00409",112,210
"O00411",105,1230
"O00418",74,100
"O00418",562,725
"O00422",6,149
"O00423",167,815
"O00425",1,161
"O00429",1,736
"O00443",1405,1544
"O00443",1559,1686
"O00444",2,275
"O00444",580,808
"O00444",884,970
"O00445",102,242
"O00451",1,458
"O00459",1,85
"O00459",108,298
"O00459",433,610
"O00470",279,336
"O00472",200,292
"O00472",519,640
"O00478",30,246
"O00478",328,584
"O00481",28,246
"O00481",272,513
"O00482",79,187
"O00482",191,541
"O00483",3,81
"O00487",1,310
"O00488",20,134
"O00499",1,272
"O00499",301,593
"O00506",1,293
"O00506",355,426
"O00512",174,205
"O00512",344,396
"O00522",1,198
"O00522",225,237
"O00522",259,736
"O00541",322,414
"O00548",21,545
"O00555",1954,1974
"O00560",111,275
"O00571",2,10
"O00571",71,90
"O00571",132,607
"O00584",25,256
"O00585",24,134
"O00602",109,326
"O00625",1,290
"O00629",1,521
"O00631",1,31
"O00746",31,175
"O00755",202,209
"O00757",1,339
"O00762",1,179
"O00763",216,776
"O00763",885,971
"O00763",1690,2450
"O00764",1,312
"O00767",45,359
"O14490",370,384
"O14492",20,85
"O14493",1,183
"O14497",1000,1119
"O14508",30,198
"O14519",61,115
"O14520",1,342
"O14522",868,1151
"O14523",76,260
"O14529",544,631
"O14529",887,974
