"PDB_ID","chain","charge","num_residues","ncpr"
"1a6y","B",13,84,0.154761904761905
"1afo","A",2,40,0.05
"1b0f","A",9,218,0.0412844036697248
"1bor","A",-3,56,-0.0535714285714286
"1bwx","A",1,39,0.0256410256410256
"1d5r","A",11,307,0.0358306188925081
"1dk8","A",-1,147,-0.00680272108843537
"1dpu","B",5,16,0.3125
"1eig","A",10,73,0.136986301369863
"1evs","A",6,163,0.0368098159509202
"1ewn","A",4,200,0.02
"1f0m","A",-1,71,-0.0140845070422535
"1fxl","A",6,167,0.0359281437125748
"1hdp","A",7,63,0.111111111111111
"1jfi","A",4,63,0.0634920634920635
"1jh4","B",0,22,0
"1jid","A",8,114,0.0701754385964912
"1jm7","B",-1,97,-0.0103092783505155
"1lv2","A",-5,225,-0.0222222222222222
"1mhq","A",0,143,0
"1nhl","A",-4,52,-0.0769230769230769
"1nlw","A",9,79,0.113924050632911
"1o4x","B",12,77,0.155844155844156
"1oe9","B",-10,139,-0.0719424460431655
"1qag","A",4,221,0.0180995475113122
"1so2","A",-12,363,-0.0330578512396694
"1t2a","A",-2,338,-0.00591715976331361
"1t2k","D",9,61,0.147540983606557
"1tu4","B",-1,158,-0.00632911392405063
"1vd2","A",-10,89,-0.112359550561798
"1w1f","A",0,60,0
"1w98","B",-11,270,-0.0407407407407407
"1wfq","A",1,89,0.0112359550561798
"1wgr","A",-4,100,-0.04
"1wjm","A",6,123,0.0487804878048781
"1woj","A",5,209,0.0239234449760766
"1wx7","A",1,106,0.00943396226415094
"1wym","A",-1,155,-0.00645161290322581
"1wyn","A",2,146,0.0136986301369863
"1x2p","A",-3,68,-0.0441176470588235
"1x3s","A",-6,175,-0.0342857142857143
"1x4e","A",5,85,0.0588235294117647
"1xtk","A",-4,382,-0.0104712041884817
"1y6l","A",2,148,0.0135135135135135
"1y7q","A",2,98,0.0204081632653061
"1y96","D",-1,83,-0.0120481927710843
"1ygr","B",3,561,0.0053475935828877
"1yhn","B",5,65,0.0769230769230769
"1z0i","A",2,158,0.0126582278481013
"1zkc","A",2,187,0.0106951871657754
"2a4j","B",5,17,0.294117647058824
"2ac3","A",-13,277,-0.0469314079422383
"2ann","A",4,148,0.027027027027027
"2ax4","A",0,198,0
"2aze","A",-1,149,-0.00671140939597315
"2byf","A",1,116,0.00862068965517241
"2c47","D",7,290,0.0241379310344828
"2c62","A",1,66,0.0151515151515152
"2c9w","A",6,153,0.0392156862745098
"2cmw","A",6,294,0.0204081632653061
"2coc","A",-4,112,-0.0357142857142857
"2cop","A",3,109,0.0275229357798165
"2cow","A",-3,100,-0.03
"2cp2","A",-3,95,-0.0315789473684211
"2cqd","A",3,116,0.0258620689655172
"2crf","A",2,150,0.0133333333333333
"2csi","A",-10,76,-0.131578947368421
"2csk","A",2,146,0.0136986301369863
"2ctd","A",4,96,0.0416666666666667
"2cud","A",-2,79,-0.0253164556962025
"2d8s","A",-4,80,-0.05
"2d9g","A",2,53,0.0377358490566038
"2d9x","A",0,120,0
"2dav","A",2,126,0.0158730158730159
"2db2","A",10,119,0.0840336134453782
"2dez","A",0,36,0
"2dgp","A",1,106,0.00943396226415094
"2dgq","A",1,108,0.00925925925925926
"2dhk","A",6,119,0.0504201680672269
"2dhy","A",-3,67,-0.0447761194029851
"2dix","A",3,84,0.0357142857142857
"2dj0","A",1,137,0.0072992700729927
"2djb","A",2,72,0.0277777777777778
"2djr","A",3,76,0.0394736842105263
"2dlp","A",0,85,0
"2dmn","A",8,83,0.0963855421686747
"2dmq","A",13,80,0.1625
"2dmt","A",10,80,0.125
"2dmu","A",5,70,0.0714285714285714
"2dnx","A",4,130,0.0307692307692308
"2do4","A",2,100,0.02
"2e1o","A",10,70,0.142857142857143
"2e29","A",-5,92,-0.0543478260869565
"2e8m","A",4,99,0.0404040404040404
"2ebl","A",12,89,0.134831460674157
"2ee5","A",-7,219,-0.0319634703196347
"2eje","A",4,114,0.0350877192982456
"2eoc","A",3,124,0.0241935483870968
"2epd","A",1,76,0.0131578947368421
"2ery","A",-2,167,-0.0119760479041916
"2f7s","A",-2,179,-0.0111731843575419
"2fe4","A",-1,163,-0.00613496932515337
"2fg5","A",-2,165,-0.0121212121212121
"2fi2","A",-3,94,-0.0319148936170213
"2fn4","A",-5,173,-0.0289017341040462
"2fy2","A",4,585,0.00683760683760684
"2g6b","A",-3,162,-0.0185185185185185
"2g7r","A",-4,86,-0.0465116279069767
"2gf9","A",-4,176,-0.0227272727272727
"2ghf","A",-3,102,-0.0294117647058824
"2gjs","A",2,150,0.0133333333333333
"2gph","B",1,16,0.0625
"2gw6","A",-11,123,-0.0894308943089431
"2he4","A",6,90,0.0666666666666667
"2hei","A",1,163,0.00613496932515337
"2hw6","B",-3,233,-0.0128755364806867
"2hzd","A",7,82,0.0853658536585366
"2ihb","B",0,111,0
"2il1","A",1,163,0.00613496932515337
"2ipx","A",4,215,0.0186046511627907
"2izr","A",7,298,0.023489932885906
"2jeo","A",-4,212,-0.0188679245283019
"2jnu","A",-7,136,-0.0514705882352941
"2jx8","A",-2,47,-0.0425531914893617
"2ke4","A",-4,98,-0.0408163265306122
"2kgg","A",-6,52,-0.115384615384615
"2kr1","A",1,64,0.015625
"2ks9","A",4,363,0.0110192837465565
"2kuo","A",2,91,0.021978021978022
"2kv8","A",3,83,0.036144578313253
"2kw3","A",-2,68,-0.0294117647058824
"2kw6","A",3,65,0.0461538461538462
"2kwi","A",-9,178,-0.050561797752809
"2kxn","B",2,95,0.0210526315789474
"2l08","A",-3,97,-0.0309278350515464
"2l2l","A",3,43,0.0697674418604651
"2l35","B",0,32,0
"2l4z","A",1,121,0.00826446280991736
"2l9r","A",8,69,0.115942028985507
"2lqc","B",1,24,0.0416666666666667
"2lso","A",9,83,0.108433734939759
"2lzu","A",4,72,0.0555555555555556
"2m1w","A",-5,166,-0.0301204819277108
"2m38","A",-1,135,-0.00740740740740741
"2m9k","A",3,93,0.032258064516129
"2mgx","A",-3,131,-0.0229007633587786
"2mx4","A",1,43,0.0232558139534884
"2n03","A",-3,215,-0.013953488372093
"2n1d","A",-4,54,-0.0740740740740741
"2n1u","A",11,70,0.157142857142857
"2na1","A",2,145,0.0137931034482759
"2nqa","A",-16,305,-0.0524590163934426
"2nzj","A",-3,155,-0.0193548387096774
"2od1","A",0,50,0
"2of5","H",-7,100,-0.07
"2omj","A",2,89,0.0224719101123595
"2p5s","A",1,157,0.00636942675159236
"2pl3","A",1,232,0.00431034482758621
"2q3f","A",-6,175,-0.0342857142857143
"2qnj","B",3,322,0.0093167701863354
"2rrh","A",3,29,0.103448275862069
"2v24","A",-2,197,-0.0101522842639594
"2v40","A",-6,419,-0.0143198090692124
"2v55","B",-6,181,-0.0331491712707182
"2vqj","A",-7,402,-0.0174129353233831
"2vzg","A",-2,15,-0.133333333333333
"2w0t","A",4,43,0.0930232558139535
"2w85","B",-2,12,-0.166666666666667
"2wa0","A",-6,214,-0.0280373831775701
"2wjv","D",-4,54,-0.0740740740740741
"2xdv","A",-6,374,-0.0160427807486631
"2xus","A",0,41,0
"2xzz","A",0,97,0
"2ypa","A",7,67,0.104477611940299
"2yu7","B",-2,14,-0.142857142857143
