orth,pos_IWD,neg_IWD
PER1_HUMAN,6.0862,2.16457
PER2_HUMAN,4.79188,0.33062
PER3_HUMAN,3.48591,2.0399
PER1_MOUSE,7.06497,1.92375
PER2_MOUSE,4.50622,1.02014
PER3_MOUSE,3.45333,0.98943
PER_DROME,5.18116,5.04268
