Name,Sequence Length,Duration(seconds)
A1Arominusminus,137,5266.9
A1Aroplus,137,5265.4
A1LCD10Fplus7Rplus12D,137,5269.3
A1LCD10R,137,5265.3
A1LCD10Rplus10K,137,5263.5
A1LCD12Fplus12Y,137,5262.1
A1LCD12Fplus12Y10R,137,5262
A1LCD3Rplus3K,137,5262.6
A1LCD4D,137,5264.4
A1LCD6R,137,5261.8
A1LCD6Rplus6K,137,5260.6
A1LCD8Fplus4Y,137,5258.3
A1LCD9Fplus3Y,137,5256.6
A1LCD9Fplus6Y,137,5260
A1LCDNLS,137,5258.1
A1LCDaro,137,5261.2
A1LCDaroplus,137,5262.4
A1LCDplus12D,137,5263.4
A1LCDplus12E,137,5265
A1LCDplus2R,137,5264.5
A1LCDplus4D,137,5260
A1LCDplus7F7Y,137,5255.4
A1LCDplus7Kplus12Dblocky,137,5257.1
A1LCDplus7R,137,5254.3
A1LCDplus7Rplus10D,137,5252.2
A1LCDplus8D,137,5255
A1LCDplusNLS,137,5255.8
ANAC046,167,7573.3
Ash1,83,2111.3
Bmal1CTDP624A,98,2824
CSD1,150,6198.8
CTCFRWT,185,9460.9
DARPP32,118,3955
DSS1,71,1634
E1A2022,114,3715
Fez1,103,3092
Fhua,142,5619
GON7NTD,114,3721
GRB14PIR,98,2829
H1CTD,98,2828
HIVTAT,101,2987
HMPV,61,1280
HeVPNT3200310WT,133,4981
HeVPNT3200310YYYAAA,133,4975
HeVPNT3CTD200254,77,1862
Heh2NLS,46,836
Histatin,24,403
HrpO,148,6044
IBB,99,2881
II1,141,5534
IRCTD,173,8080
LOXPP,147,5964
LS,70,1588
MenVLBD,62,1309
N98,153,6432
NHE6cmdd,116,3833
NTail,125,4389
Neuroligin3,118,3965
NiVPNT3200314WT,137,5267
Nup153NUL,114,3719
Nup153NUS,82,2075
Nup1573frag,79,1950
Nup49,38,649
P1100,100,2938
PAGE4WT,102,3045
PPI2,156,6686
ProTa,111,3536
RSpeptide,18,340
ReducedRnaseH,124,4335
RpII215gibbs,75,1786
SMADlinker,90,2445
Sic1,92,2539
TIF2624774,150,6213
TRF2BR,49,916
TauK10,167,7595
TauK16,175,8282
TauK17,144,5755
TauK18,129,4711
TauK18P301L,129,4716
TauK18delK280I277PI308P,128,4597
TauK19,98,2833
TauK27,166,7517
UL11,104,3152
VSVP,67,1483
alphasyn,140,5489
chloroplasticcalvincycleprotein,100,2945
hNHE1cdt,130,4786
histatin2021,24,401
p150L342475,144,5767
p27WTv31,107,3315
p27v14,107,3316
p27v15,107,3316
p27v44,107,3318
p27v56,107,3317
p27v78,107,3316
p53191,91,2494
red1288345,70,1593
redAFP,81,2035
sfAFP,81,2034
snowfleaanti,81,2035
stathNTD,15,306
syndecan4,163,7253
