idx,pos_clust,neg_clust,ali_clust,aro_clust,delta
1182553.XP_007742197.1,2.694,2.2539,0.7721,4.185,2.6822
1173701.A0A066X348,5.7604,3.1386,1.4471,0.8372,4.4645
1051613.XP_003005668.1,4.0427,1.4509,1.2411,0.7021,3.0153
1047171.Mycgr3P93972,4.4992,3.3718,0.1739,1.3041,3.2941
318829.MGG_17344T0,2.0281,3.8777,-0.1059,-0.0258,4.6845
80884.CCF33204,5.1058,1.8406,1.7854,1.0303,4.1036
73501.XP_006666235.1,6.2872,4.967,1.6314,0.4848,5.9499
72228.T5A8L8,6.3659,3.1352,2.0738,0.7254,3.3191
64363.EME42475,4.3027,4.0076,0.089,0.6802,4.5845
63577.G9NZN9,5.8638,3.3388,2.0594,1.7863,4.7247
61459.XP_007779223.1,3.6173,6.8049,0.1632,0.7907,5.7396
61273.S3BSL4,8.4096,5.9218,0.6638,0.7683,5.2073
53485.EFQ89147,3.4408,3.5363,-0.5732,0.4023,2.9112
51453.EGR49196,5.3523,3.1049,2.4025,0.6434,4.642
45151.EDU44680,3.2532,3.7688,-0.0066,1.1937,2.954
5022.CBY01832,5.2964,9.1403,0.1838,1.2556,7.0759
5017.XP_007706597.1,2.9353,2.4017,0.3598,1.9768,3.0366
5016.M2V4H4,3.3004,2.3582,0.1129,1.574,3.2806
5145.XP_001904738.1,4.1144,1.7438,1.5112,0.8349,4.2046
5141.EFNCRP00000003120,4.9744,3.2839,0.3691,1.0613,5.2882
5127.CCT67064,5.2572,3.096,1.5207,1.3513,4.7929
5111.M1W586,5.014,1.9574,1.3026,-0.0568,3.2796
5286.M7X0L7,5.2683,4.3244,-0.1473,1.7222,5.552
5147.XP_003351398.1,4.1574,3.5171,0.8938,1.5938,3.9742
470704.XP_007756483.1,2.8224,1.959,0.54,4.0805,1.948
474922.ELA26035,6.4924,6.1176,2.3099,1.7803,6.177
568076.XP_007820960.1,6.9106,3.2774,2.0176,-0.4393,5.8345
588596.U9UHS2,2.8898,2.6323,-1.0913,-0.0357,1.5035
43229.XP_007722116.1,2.6218,0.5474,-1.0101,3.6424,0.2293
45130.XP_007697725.1,3.4325,2.0191,0.4431,1.7531,2.6498
430498.S8CAE7,3.3904,3.1614,-1.2465,1.3687,4.1438
430998.XP_007676921.1,3.586,6.1783,-1.0714,-0.0649,4.5456
364733.XP_007801035.1,0.9981,1.8238,0.1403,1.0073,1.1535
393283.XP_007832630.1,5.161,4.4155,1.4176,2.1532,4.6844
31870.EFQ27519,6.4852,3.217,2.1449,0.9925,4.6649
34373.CCU82609,-0.2063,0.942,-0.0914,1.142,1.2233
29875.EHK24183,4.5789,3.1769,2.8393,1.3312,4.2209
29908.U7Q4C6,6.2074,4.0783,0.8883,0.6607,4.4455
40559.M7U578,1.5276,3.6221,-0.3803,2.1213,3.7503
43228.XP_007731429.1,2.2896,0.93,0.8998,3.0376,1.0807
35725.K2RYF1,4.8181,6.4827,1.3341,1.33,5.2874
710243.XP_007596710.1,5.7247,2.8871,2.2176,0.9316,3.9456
13349.G1X6Y9,4.9342,3.8634,-1.7929,1.8504,4.8883
698440.XP_007294683.1,3.4493,6.0603,0.1528,2.0181,5.7911
40127.XP_009853496.1,4.4229,3.1879,0.5455,1.5146,5.0075
29850.GGTG_05366T0,4.6975,1.6862,0.8687,0.3423,4.0294
28564.XP_002481672.1,3.3493,2.0821,-1.2084,1.8261,3.9061
293227.XP_008714842.1,2.3865,4.4896,2.1284,3.195,4.5374
226899.F0XNA6,5.1968,4.7494,0.4,1.1659,5.2615
140110.NechaP87985,3.7391,-0.3945,1.2008,1.1074,2.0288
140110.NechaP20803,6.7937,3.4377,2.9578,1.7937,5.6595
176275.XP_008594847.1,5.9892,4.5965,1.1303,0.7195,5.0186
148304.MAPG_03751T0,3.8679,1.7939,2.4737,0.3559,3.5613
5507.FOXG_16752P0,4.7919,1.1911,1.2731,-0.8642,2.6323
5507.FOXG_16689P0,4.8309,1.1981,1.2932,-0.8758,2.6968
5518.FGSG_08069P0,1.2648,-0.8531,-0.1906,0.4177,-0.2241
5518.FGSG_06054P0,6.4487,3.193,2.8134,1.5836,5.3582
337075.U4L1L8,4.4833,2.3196,0.734,0.6128,3.4027
5970.XP_009158898.1,2.9227,1.124,0.8357,1.9373,1.4048
27337.EGY17172,4.8643,1.1298,1.6993,1.1642,3.5423
13684.SNOT_03058,3.5044,3.531,-0.3833,1.7985,3.6689
223192.XP_007917186.1,3.1851,5.7338,-0.7229,0.6644,7.7287
176275.XP_008602276.1,2.1403,0.4857,-0.158,0.3966,1.7958
101852.XP_008079307.1,3.0796,3.602,0.1398,-0.2257,2.1627
117187.FVEG_04686T0,6.1574,3.5303,2.2293,1.0534,6.0703
83344.XP_007928634.1,0.9423,5.5855,-0.9722,-0.9803,6.0535
85929.M3BWY7,6.7002,6.2798,0.1566,1.9374,5.3269
86049.XP_008726980.1,2.2041,2.2194,0.2853,3.909,1.99
92637.XP_007808256.1,7.455,4.3757,2.2054,0.6199,5.9743
93612.XP_008027024.1,3.3764,3.4156,0.4422,1.8599,3.1348
97096.XP_007791145.1,3.0189,4.1174,1.1121,1.3909,5.201
101028.EKJ75563,6.5917,3.1201,3.0825,1.6127,5.2425
101162.XP_007683987.1,3.4014,2.2565,1.0394,1.3442,2.503
5507.FOXG_15104P0,2.659,-1.8109,-0.5693,-0.4422,0.1248
5507.FOXG_15157P0,2.9432,-1.3544,-0.4431,-0.708,0.7769
5507.FOXG_14378P0,2.6889,-1.803,-0.5669,-0.4314,0.1285
5507.FOXG_14954P0,2.8204,-1.1251,-0.9855,0.4166,0.3588
5507.FOXG_15043P0,2.0954,-0.9229,0.1692,0.19,0.1515
5286.M7XGX0,2.9357,4.1809,0.1055,3.0723,1.8487
5465.ENH76664,5.8321,5.4108,1.2394,1.4954,5.8329
5507.FOXG_07759P0,6.1962,4.0996,2.3797,0.2811,6.379
5507.FOXG_14323P0,2.9881,-1.3671,-0.4469,-0.7068,0.7949
FRQ_NEUCR,4.4845,3.2538,0.6595,1.4969,5.1352
